City,Country,Latitude,Longitude,Date,Cloudiness (%),Humidity (%),Max Temperature (°C),Wind Speed (m/s)
Hobart,AU,-42.8794,147.3294,1622657628,90,76,12.37,0.45
Saint-Philippe,RE,-21.3585,55.7679,1622657628,91,82,23.77,6.36
Gejiu,CN,23.306,103.1635,1622657629,83,87,15.81,1.11
Acapulco de Juárez,MX,16.8634,-99.8901,1622657629,75,58,31.9,3.13
Yurgamysh,RU,55.3714,64.4656,1622657629,97,53,14.33,2.39
Lüderitz,NA,-26.6481,15.1594,1622657409,0,32,19.87,5.49
Mataura,NZ,-46.1927,168.8643,1622657630,18,97,9.71,1.44
Bluff,NZ,-46.6,168.3333,1622657630,71,81,9.89,4.65
Staryy Nadym,RU,65.6118,72.6842,1622657630,95,60,4.29,4.04
Punta Arenas,CL,-53.15,-70.9167,1622657631,0,69,2.01,3.18
Vaini,TO,-21.2,-175.2,1622657631,20,94,19.09,1.03
Kumul,CN,42.8,93.45,1622657631,0,10,25.2,4.82
Tuttlingen,DE,47.9833,8.8167,1622657632,92,82,21.46,1.51
Nome,US,64.5011,-165.4064,1622657632,90,52,5.65,3.6
Albany,US,42.6001,-73.9662,1622657632,100,52,26.22,3.26
Egvekinot,RU,66.3167,-179.1667,1622657633,24,70,-2.79,0.97
Tasiilaq,GL,65.6145,-37.6368,1622657633,22,80,5.09,3.04
Norman Wells,CA,65.282,-126.8329,1622657633,75,71,8.02,4.12
Kapaa,US,22.0752,-159.319,1622657634,40,76,26.99,0.89
Kloulklubed,PW,7.0419,134.2556,1622657634,94,77,28.15,1.51
Rikitea,PF,-23.1203,-134.9692,1622657634,98,60,22.15,7.73
Gizo Government Station,SB,-8.103,156.8419,1622657635,78,77,27.47,0.43
Dikson,RU,73.5069,80.5464,1622657635,96,89,-3.59,2.67
Vanimo,PG,-2.6741,141.3028,1622657635,88,86,24.42,1.37
Touros,BR,-5.1989,-35.4608,1622657636,1,62,30.5,7.12
Bambous Virieux,MU,-20.3428,57.7575,1622657636,40,69,24.56,8.16
Baruun-Urt,MN,46.6806,113.2792,1622657636,41,48,7.49,4.48
Ponta do Sol,PT,32.6667,-17.1,1622657637,97,53,20.07,4.24
Diré,ML,12.2833,-10.9667,1622657637,79,36,33.76,3.43
Port Alfred,ZA,-33.5906,26.891,1622657637,96,78,15.9,6.88
Upernavik,GL,72.7868,-56.1549,1622657639,52,81,-0.03,3.25
Kavieng,PG,-2.5744,150.7967,1622657639,97,82,27.19,4.13
Quelimane,MZ,-17.8786,36.8883,1622657639,62,87,22.13,2.66
Mahébourg,MU,-20.4081,57.7,1622657640,40,69,24.58,5.66
Seidu,SL,9.0167,-10.6,1622657640,90,64,28.62,0.23
Goderich,CA,43.7501,-81.7165,1622657641,72,33,24.0,2.57
Ust'-Kut,RU,56.7938,105.7672,1622657641,58,54,12.94,0.63
Ushuaia,AR,-54.8,-68.3,1622657641,67,86,1.79,1.3
Katsuura,JP,35.1333,140.3,1622657642,93,83,21.17,3.72
Barrow,US,71.2906,-156.7887,1622657642,90,74,-1.99,7.72
Comodoro Rivadavia,AR,-45.8667,-67.5,1622657644,0,62,9.92,4.63
Korla,CN,41.7597,86.1469,1622657612,22,20,27.19,2.93
Padang,ID,-0.9492,100.3543,1622657508,80,87,25.92,1.88
Madimba,TZ,-10.4,40.3333,1622657645,48,84,23.42,3.48
Lompoc,US,34.6391,-120.4579,1622657645,40,80,28.34,1.34
Pevek,RU,69.7008,170.3133,1622657646,12,74,-0.15,1.32
Busselton,AU,-33.65,115.3333,1622657646,96,69,15.67,0.96
Fort Nelson,CA,58.8053,-122.7002,1622657646,75,38,23.77,2.57
East London,ZA,-33.0153,27.9116,1622657647,0,82,16.52,6.69
Tsimmerbude,RU,54.675,20.1347,1622657648,38,73,16.03,3.8
Tazovsky,RU,67.4667,78.7,1622657658,100,65,2.67,2.3
Saint-Joseph,RE,-21.3667,55.6167,1622657658,95,79,23.21,6.44
San Cosme y Damián,PY,-27.3167,-56.35,1622657659,96,69,25.83,0.96
Castro,BR,-24.7911,-50.0119,1622657659,10,63,21.22,3.91
Lloydminster,CA,53.2835,-110.0016,1622657659,75,36,27.12,5.14
Isangel,VU,-19.55,169.2667,1622657660,14,67,20.38,3.5
Ilulissat,GL,69.2167,-51.1,1622657660,1,56,6.01,3.6
São João da Barra,BR,-21.6403,-41.0511,1622657660,1,75,29.05,4.47
Kinango,KE,-4.1372,39.3153,1622657662,45,95,25.06,2.03
Poum,NC,-20.2333,164.0167,1622657663,87,67,22.23,5.87
San Policarpo,PH,12.1791,125.5072,1622657663,83,85,25.74,2.51
Nikolskoye,RU,59.7035,30.7861,1622657663,15,65,17.94,2.8
Cape Town,ZA,-33.9258,18.4232,1622657664,0,81,16.23,2.24
Saint George,US,37.1041,-113.5841,1622657664,1,13,36.97,0.89
Nanortalik,GL,60.1432,-45.2371,1622657665,100,83,4.43,4.95
Torbay,CA,47.6666,-52.7314,1622657665,20,50,22.71,11.32
Saskylakh,RU,71.9167,114.0833,1622657665,100,87,1.61,8.41
Hermanus,ZA,-34.4187,19.2345,1622657665,95,82,17.17,5.87
Thompson,CA,55.7435,-97.8558,1622657666,75,34,27.09,6.69
Sangar,RU,63.9242,127.4739,1622657666,70,76,9.52,1.97
Matara,LK,5.9485,80.5353,1622657647,87,85,26.49,5.22
Omboué,GA,-1.5746,9.2618,1622657667,53,84,24.78,2.54
Mareeba,AU,-17.0,145.4333,1622657667,85,94,17.4,0.63
New Norfolk,AU,-42.7826,147.0587,1622657668,99,77,12.18,1.23
Greenville,US,35.6127,-77.3663,1622657669,90,88,25.72,6.17
Khatanga,RU,71.9667,102.5,1622657669,100,84,0.83,1.67
Tuni,IN,17.35,82.55,1622657669,62,72,28.7,0.44
Aklavik,CA,68.2191,-135.0107,1622657670,90,86,1.46,2.57
George Town,MY,5.4112,100.3354,1622657457,20,85,28.27,1.26
Tilichiki,RU,60.4667,166.1,1622657671,9,71,5.08,0.48
Port Elizabeth,ZA,-33.918,25.5701,1622657671,20,77,16.16,7.72
Vao,NC,-22.6667,167.4833,1622657672,84,64,20.72,3.82
Jamestown,US,42.097,-79.2353,1622657673,75,49,21.77,4.63
Provideniya,RU,64.3833,-173.3,1622657673,22,57,1.04,2.37
Butaritari,KI,3.0707,172.7902,1622657674,100,79,28.14,6.97
Lewiston,US,44.1003,-70.2148,1622657675,1,39,28.36,5.66
Dongsheng,CN,39.8161,109.9776,1622657675,35,45,8.18,8.13
Ballina,AU,-28.8667,153.5667,1622657676,86,97,13.77,2.08
Neyshabur,IR,36.2133,58.7958,1622657676,0,18,30.32,2.93
Chermoz,RU,58.787,56.1489,1622657676,0,63,8.62,3.3
Sitka,US,57.0531,-135.33,1622657677,90,87,9.94,4.63
Vardø,NO,70.3705,31.1107,1622657677,0,51,19.11,3.09
Marystown,CA,47.1666,-55.1483,1622657677,15,72,13.42,7.19
Qaanaaq,GL,77.484,-69.3632,1622657678,47,78,-2.42,0.86
Kruisfontein,ZA,-34.0033,24.7314,1622657678,81,74,14.38,7.89
Bambanglipuro,ID,-7.95,110.2833,1622657678,55,91,17.0,1.53
Vestmannaeyjar,IS,63.4427,-20.2734,1622657680,0,71,9.55,2.57
Salekhard,RU,66.53,66.6019,1622657680,98,73,2.97,5.96
Paramonga,PE,-10.6667,-77.8333,1622657690,97,70,21.03,3.47
Marshalltown,US,42.0494,-92.908,1622657691,75,38,26.93,2.57
St. Marys,US,30.7305,-81.5465,1622657691,1,70,30.13,4.47
Hilo,US,19.7297,-155.09,1622657692,90,77,24.89,3.6
Natal,BR,-5.795,-35.2094,1622657692,40,51,30.36,6.08
Cherskiy,RU,68.75,161.3,1622657693,40,41,9.93,3.2
Atuona,PF,-9.8,-139.0333,1622657693,45,72,26.4,6.94
Denpasar,ID,-8.65,115.2167,1622657693,20,94,26.81,2.34
Henties Bay,NA,-22.116,14.2845,1622657694,0,55,17.7,4.42
Cidreira,BR,-30.1811,-50.2056,1622657694,70,63,20.57,4.95
Puerto Ayora,EC,-0.7393,-90.3518,1622657694,66,77,26.98,3.58
Dhidhdhoo,MV,6.8833,73.1,1622657695,54,76,28.47,8.15
Victor Harbor,AU,-35.5667,138.6167,1622657695,2,88,14.15,0.45
García,MX,25.8167,-100.5833,1622657695,86,68,31.65,2.55
Hambantota,LK,6.1241,81.1185,1622657696,83,83,26.7,7.06
San Miguel de Cozumel,MX,20.5083,-86.9458,1622657696,75,79,30.99,2.68
Orsha,BY,54.5153,30.4053,1622657696,38,71,14.02,2.93
Altay,CN,47.8667,88.1167,1622657630,88,41,20.27,1.85
Qaqortoq,GL,60.7167,-46.0333,1622657697,100,78,11.28,7.95
Ayní,TJ,39.3941,68.5377,1622657697,55,58,20.39,1.56
Jalu,LY,29.0331,21.5482,1622657698,16,22,31.82,4.85
Kiama,AU,-34.6833,150.8667,1622657698,98,84,12.54,1.85
Pisco,PE,-13.7,-76.2167,1622657698,90,88,18.03,2.06
Husavik,IS,66.0449,-17.3389,1622657699,98,74,12.95,2.43
Wajid,SO,3.8093,43.2471,1622657699,91,40,28.18,5.25
Saint Paul Harbor,US,57.79,-152.4072,1622657699,90,87,8.73,2.57
Kununurra,AU,-15.7667,128.7333,1622657700,99,83,21.99,1.54
Tuatapere,NZ,-46.1333,167.6833,1622657443,30,89,9.9,2.35
Asahikawa,JP,43.7678,142.3703,1622657700,100,90,11.06,1.11
Chokurdakh,RU,70.6333,147.9167,1622657701,64,28,16.04,2.07
Santa Maria,BR,-29.6842,-53.8069,1622657701,100,62,20.07,3.59
Cogoleto,IT,44.3893,8.6429,1622657701,0,80,23.63,0.61
Muisne,EC,0.6,-80.0333,1622657702,96,81,29.06,4.29
Fairbanks,US,64.8378,-147.7164,1622657402,90,68,15.19,0.0
Mel'nikovo,RU,56.5558,84.085,1622657702,84,60,12.87,2.54
Funtua,NG,11.5233,7.3081,1622657702,85,29,30.44,2.41
Nicoya,CR,10.1483,-85.452,1622657703,33,42,33.75,3.06
Busia,UG,0.4544,34.0758,1622657703,92,80,19.57,1.93
Rozhyshche,UA,50.9154,25.2691,1622657704,100,55,15.63,3.33
Quimper,FR,48.0,-4.1,1622657704,90,88,17.46,3.6
Port Augusta,AU,-32.5,137.7667,1622657704,64,80,12.08,2.4
Hirara,JP,24.8,125.2833,1622657629,99,89,27.5,5.88
Longyearbyen,SJ,78.2186,15.6401,1622657705,75,65,6.91,12.35
Okhotsk,RU,59.3833,143.3,1622657705,89,87,2.83,3.02
Ashington,GB,50.9331,-0.3909,1622657706,92,56,24.5,2.68
Sola,VU,-13.8833,167.55,1622657706,94,80,26.26,10.79
Te Anau,NZ,-45.4167,167.7167,1622657706,30,91,6.49,0.52
Kalevala,RU,65.2,31.1667,1622657706,97,48,18.37,1.42
Mar del Plata,AR,-38.0023,-57.5575,1622657707,40,58,13.33,0.89
Fuling,CN,29.7022,107.3919,1622657707,88,91,21.69,0.43
Esperance,AU,-33.8667,121.9,1622657708,56,78,14.85,3.57
Zolotyy Potik,UA,48.9095,25.3393,1622657708,98,85,15.51,1.25
Havøysund,NO,70.9963,24.6622,1622657708,1,74,18.49,4.9
Conceição da Barra,BR,-18.5933,-39.7322,1622657709,65,64,26.56,3.06
Ribeira Grande,PT,38.5167,-28.7,1622657719,20,48,19.22,4.63
Matadi,CD,-5.8167,13.45,1622657720,5,67,26.18,1.12
Dingle,PH,10.9995,122.6711,1622657720,100,92,24.91,2.78
Rundu,NA,-17.9333,19.7667,1622657721,10,29,14.87,3.15
Killybegs,IE,54.6333,-8.45,1622657721,100,86,16.84,1.93
San Angelo,US,31.4638,-100.437,1622657721,20,56,30.35,0.45
Mossendjo,CG,-2.9506,12.7261,1622657722,23,83,22.49,0.3
San Juan del Sur,NI,11.2529,-85.8705,1622657723,40,62,31.12,7.24
São Filipe,CV,14.8961,-24.4956,1622657723,70,75,23.91,5.48
Kainantu,PG,-6.2887,145.8655,1622657724,99,96,15.87,1.01
Uyuni,BO,-20.4597,-66.825,1622657724,33,10,11.33,2.06
Itarema,BR,-2.9248,-39.9167,1622657724,34,69,28.83,6.37
Bredasdorp,ZA,-34.5322,20.0403,1622657724,95,88,13.62,4.33
Kirakira,SB,-10.4544,161.9205,1622657726,35,89,25.99,3.92
Tura,IN,25.5198,90.2201,1622657726,30,95,23.56,3.01
Tiksi,RU,71.6872,128.8694,1622657726,86,76,8.39,5.56
Hamilton,US,39.1834,-84.5333,1622657727,90,95,19.56,0.89
Bull Savanna,JM,17.8868,-77.5902,1622657728,15,63,28.91,7.5
Tuktoyaktuk,CA,69.4541,-133.0374,1622657728,75,69,1.0,5.66
Lázaro Cárdenas,MX,17.9583,-102.2,1622657729,97,51,32.57,3.32
Zhigansk,RU,66.7697,123.3711,1622657729,85,77,13.03,5.79
Wanning,CN,18.8003,110.3967,1622657729,97,94,27.74,3.93
Sistranda,NO,63.7256,8.834,1622657730,69,75,15.98,5.04
Tocopilla,CL,-22.092,-70.1979,1622657730,69,68,20.56,2.89
Pergamino,AR,-33.89,-60.5736,1622657730,36,53,21.25,1.34
Bathsheba,BB,13.2167,-59.5167,1622657731,40,54,30.34,6.11
Alofi,NU,-19.0595,-169.9187,1622657731,100,100,21.94,2.06
Saint-Pierre,RE,-21.3393,55.4781,1622657731,0,79,23.82,11.32
Forsytheganj,BY,52.6333,29.7333,1622657732,77,77,12.79,4.18
Avera,US,33.194,-82.5271,1622657732,100,36,28.73,2.84
Port Moresby,PG,-9.4431,147.1797,1622657544,96,88,23.44,2.29
Santa Cruz de la Sierra,BO,-17.8,-63.1667,1622657733,75,54,30.03,8.23
Gbarnga,LR,6.9956,-9.4722,1622657734,100,81,26.1,2.77
Barra do Garças,BR,-15.89,-52.2567,1622657735,20,43,33.32,2.33
Alice Springs,AU,-23.7,133.8833,1622657736,49,66,9.75,2.97
Los Llanos de Aridane,ES,28.6585,-17.9182,1622657736,75,86,19.86,3.93
Leningradskiy,RU,69.3833,178.4167,1622657736,59,94,-3.31,4.36
Kaitangata,NZ,-46.2817,169.8464,1622657737,13,91,5.65,2.95
Maniitsoq,GL,65.4167,-52.9,1622657737,100,79,3.16,2.39
Yar-Sale,RU,66.8333,70.8333,1622657737,97,75,3.37,4.23
Srednekolymsk,RU,67.45,153.6833,1622657737,84,36,14.74,1.77
Birao,CF,10.2849,22.7882,1622657738,90,58,26.84,2.47
Puerto Ayacucho,VE,5.6639,-67.6236,1622657738,100,80,26.36,1.55
Pangody,RU,65.85,74.4859,1622657738,82,64,2.9,3.3
Mount Gambier,AU,-37.8333,140.7667,1622657739,90,93,8.95,0.0
Leshukonskoye,RU,64.8989,45.7622,1622657739,100,78,6.95,4.13
Lebu,CL,-37.6167,-73.65,1622657739,56,77,14.0,2.24
Airai,TL,-8.9266,125.4092,1622657740,94,89,13.62,1.08
Baker City,US,44.7749,-117.8344,1622657740,1,39,28.85,0.0
Cayenne,GF,4.9333,-52.3333,1622657750,75,80,29.49,0.89
Santa Fe,AR,-31.6333,-60.7,1622657751,90,36,25.0,0.89
Lucknow,IN,26.85,80.9167,1622657709,0,70,28.99,2.3
Lorengau,PG,-2.0226,147.2712,1622657751,95,87,26.34,2.03
Nadvoitsy,RU,63.8667,34.3167,1622657752,92,61,15.09,0.88
Walvis Bay,NA,-22.9575,14.5053,1622657678,0,42,20.53,6.86
Clyde River,CA,70.4692,-68.5914,1622657754,90,93,-2.87,2.57
Alenquer,BR,-1.9417,-54.7383,1622657754,31,66,31.19,1.05
Banugao,PH,14.7333,121.6333,1622657755,100,87,27.75,6.11
Las Matas de Farfán,DO,18.8731,-71.5166,1622657756,76,50,30.42,2.33
Warwick,US,41.7001,-71.4162,1622657756,75,61,29.37,5.14
Maceió,BR,-9.6658,-35.7353,1622657756,40,69,28.69,4.51
Pacifica,US,37.6138,-122.4869,1622657757,20,77,24.21,1.34
Ambanja,MG,-13.6833,48.45,1622657757,37,83,22.29,1.33
Hithadhoo,MV,-0.6,73.0833,1622657703,71,68,28.79,7.71
Port Macquarie,AU,-31.4333,152.9167,1622657758,55,81,11.32,2.82
Talcahuano,CL,-36.7167,-73.1167,1622657758,90,88,14.82,3.09
Chui,UY,-33.6971,-53.4616,1622657758,24,55,17.83,5.8
Chiang Khong,TH,20.2613,100.4046,1622657759,84,70,27.18,0.4
Vostok,RU,46.4856,135.8833,1622657759,100,67,9.98,2.18
Waddān,LY,29.1614,16.139,1622657759,100,14,36.84,6.2
Troitsko-Pechorsk,RU,62.7084,56.1964,1622657760,89,72,8.49,4.72
Murmashi,RU,68.8154,32.8115,1622657760,0,31,23.23,2.0
Iqaluit,CA,63.7506,-68.5145,1622657761,90,93,0.85,5.36
Bandarbeyla,SO,9.4942,50.8122,1622657761,97,72,27.99,9.64
Yellowknife,CA,62.456,-114.3525,1622657764,40,77,15.74,0.45
Port Hedland,AU,-20.3167,118.5667,1622657764,94,37,21.03,4.63
Vila Velha,BR,-20.3297,-40.2925,1622657765,0,72,27.76,2.68
Mutoko,ZW,-17.397,32.2268,1622657765,83,66,17.38,0.4
Ende,ID,-8.8432,121.6623,1622657765,55,89,25.11,1.0
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1622657611,44,93,-0.67,2.11
Usoke,TZ,-5.1667,32.35,1622657766,80,54,20.88,1.38
Yerbogachën,RU,61.2767,108.0108,1622657766,1,54,14.14,1.49
Rome,US,43.2128,-75.4557,1622657531,75,67,24.1,2.57
Cabo San Lucas,MX,22.8909,-109.9124,1622657767,40,40,33.61,5.14
Departamento de Maldonado,UY,-34.6667,-54.9167,1622657490,42,64,13.66,6.96
Vila,PT,42.0304,-8.1588,1622657769,100,86,15.97,1.67
Wiwilí,NI,13.6268,-85.8254,1622657769,27,31,32.41,4.2
Uzunovo,RU,54.5386,38.6173,1622657769,38,86,10.26,3.96
Thinadhoo,MV,0.5333,72.9333,1622657769,92,73,28.56,6.72
Te Karaka,NZ,-38.4654,177.8679,1622657770,59,92,5.27,0.95
Guerrero Negro,MX,27.9769,-114.0611,1622657770,6,53,21.92,4.76
Geraldton,AU,-28.7667,114.6,1622657770,0,87,11.74,4.39
San Patricio,US,28.017,-97.5169,1622657771,99,57,31.62,3.02
Bismarck,US,46.8083,-100.7837,1622657771,1,32,28.91,2.57
Arraial do Cabo,BR,-22.9661,-42.0278,1622657771,0,73,26.98,4.63
Rawson,AR,-43.3002,-65.1023,1622657772,67,53,9.4,5.01
Kiryat Gat,IL,31.61,34.7642,1622657772,0,14,23.23,4.1
Minas,UY,-34.3759,-55.2377,1622657782,65,64,13.26,6.91
Chapais,CA,49.7834,-74.8492,1622657783,99,47,17.88,2.99
Narsaq,GL,60.9167,-46.05,1622657783,100,66,11.12,6.11
Dzhebariki-Khaya,RU,62.2167,135.8,1622657783,48,92,8.39,1.62
Palmerston North,NZ,-40.35,175.6167,1622657723,2,96,6.31,0.9
Solana Beach,US,32.9912,-117.2711,1622657784,90,81,31.8,1.34
Jonava,LT,55.0833,24.2833,1622657784,0,42,19.03,2.68
Xai-Xai,MZ,-25.0519,33.6442,1622657785,67,89,18.45,1.68
Cheney,US,47.4874,-117.5758,1622657785,1,31,31.18,2.48
Bereket,TM,39.2446,55.5154,1622657786,0,11,35.91,3.75
Moussoro,TD,13.6408,16.4901,1622657786,81,21,36.19,2.79
Coyhaique,CL,-45.5752,-72.0662,1622657786,90,87,6.34,2.57
North Bend,US,43.4065,-124.2243,1622657787,20,80,27.19,3.6
Nuuk,GL,64.1835,-51.7216,1622657787,75,70,6.34,7.2
Zhangye,CN,38.9342,100.4517,1622657402,100,16,15.3,1.01
Poso,ID,-1.3959,120.7524,1622657788,70,74,27.41,2.22
Moncton,CA,46.1159,-64.8019,1622657788,75,41,24.27,7.2
Kitzbühel,AT,47.4464,12.3922,1622657788,81,94,21.88,2.22
Constitución,CL,-35.3333,-72.4167,1622657789,55,70,17.1,4.79
Pantai Remis,MY,4.4557,100.6288,1622657493,85,86,26.39,1.16
