City,Country,Latitude,Longitude,Date,Cloudiness (%),Humidity (%),Max Temperature (°C),Wind Speed (m/s)
Bilibino,RU,68.0546,166.4372,1622657789,19,50,12.22,1.73
Kavaratti,IN,10.5669,72.642,1622657790,24,76,28.65,7.29
Cabedelo,BR,-6.9811,-34.8339,1622657790,14,68,28.37,5.97
Port Blair,IN,11.6667,92.75,1622657790,43,75,28.64,1.65
Mulchén,CL,-37.7167,-72.2333,1622657791,73,71,14.92,0.99
Kantunilkín,MX,21.0917,-87.45,1622657791,27,50,30.91,1.98
Severo-Kuril'sk,RU,50.6789,156.125,1622657791,25,90,4.36,3.69
Hokitika,NZ,-42.7167,170.9667,1622657792,97,79,10.45,1.62
Guanambi,BR,-14.2233,-42.7814,1622657792,3,25,32.72,3.33
Atar,MR,20.5169,-13.0499,1622657792,40,23,42.03,5.14
Port Keats,AU,-14.25,129.55,1622657793,47,72,23.62,0.96
Baft,IR,29.234,56.6057,1622657793,96,12,28.34,5.63
Berlevåg,NO,70.8578,29.0864,1622657793,0,42,17.97,4.63
Carnarvon,AU,-24.8667,113.6333,1622657794,73,77,14.04,4.63
Nabire,ID,-3.3667,135.4833,1622657338,74,92,23.97,1.6
Hong Kong,HK,22.2855,114.1577,1622657520,86,90,29.62,1.34
Vila Franca do Campo,PT,37.7167,-25.4333,1622657795,73,57,18.23,4.44
San Ramon,US,37.7799,-121.978,1622657647,1,65,24.63,0.45
Aarhus,DK,56.1567,10.2108,1622657795,6,75,16.88,4.84
Dayong,CN,25.0209,118.2898,1622657796,100,94,25.82,1.14
Mabaruma,GY,8.2,-59.7833,1622657796,76,67,28.87,2.95
Bubaque,GW,11.2833,-15.8333,1622657796,71,77,26.51,6.75
Codrington,AU,-38.2667,141.9667,1622657797,61,85,9.12,3.54
Iralaya,HN,15.0,-83.2333,1622657797,21,69,32.05,4.19
Los Alamos,US,35.8881,-106.307,1622657797,40,44,23.29,0.45
Iaciara,BR,-14.0958,-46.6317,1622657798,0,22,33.74,0.95
São José da Coroa Grande,BR,-8.8978,-35.1478,1622657798,44,64,27.2,4.01
Lismore,AU,-28.8135,153.2773,1622657615,83,95,13.73,2.06
Bowen,AU,-20.0167,148.2333,1622657799,96,87,16.12,2.94
Krasnosel'kup,RU,65.7,82.4667,1622657799,100,61,4.17,3.72
Bilma,NE,18.6853,12.9164,1622657800,2,8,36.93,2.32
Nichinan,JP,31.6,131.3667,1622657800,100,84,20.67,1.97
Shingū,JP,33.7333,135.9833,1622657526,99,93,17.73,2.74
Murgab,TM,37.4966,61.9714,1622657811,0,33,32.93,3.73
Ulaanbaatar,MN,47.9077,106.8832,1622657598,0,93,4.07,1.48
Stykkisholmur,IS,65.0757,-22.7297,1622657811,62,73,8.16,3.47
Hasaki,JP,35.7333,140.8333,1622657621,100,80,17.94,4.62
Brownsville,US,25.9018,-97.4975,1622657813,75,72,31.05,1.79
Jutaí,BR,-5.1833,-68.9,1622657813,57,51,32.19,1.16
Orán,AR,-23.1322,-64.326,1622657813,0,37,28.01,2.25
Bollnäs,SE,61.3482,16.3946,1622657814,22,51,16.88,3.11
Hervey Bay,AU,-25.2986,152.8535,1622657814,7,76,19.46,2.09
Inuvik,CA,68.3499,-133.7218,1622657814,90,90,1.48,3.09
Naze,JP,28.3667,129.4833,1622657795,100,88,22.89,5.3
Ust'-Omchug,RU,61.15,149.6333,1622657816,24,89,2.15,1.57
Tefé,BR,-3.3542,-64.7114,1622657816,40,79,30.06,2.57
Dărmăneşti,RO,46.3667,26.4833,1622657816,100,81,12.48,3.15
Kamenka,RU,51.3223,42.7678,1622657817,100,69,15.18,8.58
Maragogi,BR,-9.0122,-35.2225,1622657817,46,66,26.99,3.87
Olafsvik,IS,64.8945,-23.7142,1622657817,47,76,7.53,4.99
Tommot,RU,58.9564,126.2925,1622657818,43,93,7.77,0.76
Am Timan,TD,11.0297,20.2827,1622657819,96,45,30.56,5.63
Tayturka,RU,52.8692,103.4608,1622657819,5,75,11.08,1.39
Øksfjord,NO,70.2396,22.3479,1622657820,4,50,19.04,1.64
Kirensk,RU,57.7853,108.1119,1622657821,88,54,13.75,0.34
Victoria Point,AU,-27.5833,153.3,1622657822,82,93,16.62,1.69
West Helena,US,34.5507,-90.6418,1622657822,69,58,26.82,5.97
Olinda,BR,-8.0089,-34.8553,1622657790,40,65,26.85,4.76
São Miguel do Araguaia,BR,-13.275,-50.1628,1622657823,1,23,34.19,2.12
General Pico,AR,-35.6566,-63.7568,1622657823,20,41,14.62,0.57
Maltahöhe,NA,-24.8333,16.9833,1622657823,0,27,10.48,5.06
Pangkalanbuun,ID,-2.6833,111.6167,1622657824,25,96,23.7,1.26
Sambava,MG,-14.2667,50.1667,1622657794,74,87,23.29,5.25
Vrangel',RU,42.7297,133.0839,1622657824,93,92,12.04,3.34
Sayyan,YE,15.1718,44.3244,1622657825,69,20,20.36,7.16
Zhob,PK,31.3411,69.4481,1622657825,3,38,27.95,1.87
Aquiraz,BR,-3.9014,-38.3911,1622657791,27,56,31.23,4.28
Marawi,PH,7.9986,124.2928,1622657826,100,85,19.8,2.37
Napoleon,US,41.3923,-84.1252,1622657826,100,91,18.31,3.37
Astoria,US,46.1879,-123.8313,1622657735,1,75,26.16,3.09
Beringovskiy,RU,63.05,179.3167,1622657827,23,81,-0.55,3.29
Bethel,US,41.3712,-73.414,1622657573,20,55,27.12,4.12
Marquette,US,46.5333,-87.6335,1622657828,95,59,25.43,3.98
Magway,MM,20.15,94.9167,1622657828,10,64,29.59,3.84
Bosobolo,CD,4.1833,19.9,1622657828,82,85,21.63,0.86
Baiyin,CN,36.5583,104.2081,1622657536,100,15,11.49,3.52
Aykhal,RU,66.0,111.5,1622657808,91,63,14.01,2.62
Bahía Blanca,AR,-38.7196,-62.2724,1622657807,33,45,12.29,4.17
Mamu Kanjan,PK,30.8333,72.8,1622657830,0,41,30.97,3.72
Camaná,PE,-16.6228,-72.7111,1622657830,52,77,19.73,2.92
Pemangkat,ID,1.1667,108.9667,1622657794,98,83,27.02,0.7
Ingham,US,42.6,-84.3833,1622657831,75,58,24.57,6.69
Pacific Grove,US,36.6177,-121.9166,1622657807,75,86,24.53,1.34
Khandyga,RU,62.6667,135.6,1622657841,43,91,8.68,0.89
Nago,JP,26.5881,127.9761,1622657626,100,96,26.24,2.54
Minbu,MM,20.1833,94.8833,1622657842,10,64,29.68,4.0
Shitanjing,CN,39.2342,106.3439,1622657796,71,40,12.05,4.24
Stephenville,US,32.2207,-98.2023,1622657843,1,65,25.43,2.57
Cedral,MX,23.8,-100.7333,1622657845,96,44,23.18,3.8
Tshane,BW,-24.0196,21.8684,1622657845,0,31,10.72,4.2
Pangnirtung,CA,66.1451,-65.7125,1622657845,90,93,1.0,4.63
San Cristobal,VE,7.7669,-72.225,1622657846,100,52,28.1,2.56
Novy Urengoy,RU,66.0833,76.6333,1622657847,90,56,3.63,3.38
Seoul,KR,37.5683,126.9778,1622657502,0,88,18.73,0.44
Lixouri,GR,38.2019,20.4314,1622657847,20,88,19.92,4.16
Southbridge,US,42.0751,-72.0334,1622657815,100,42,27.75,2.62
Acacoyagua,MX,15.35,-92.65,1622657849,13,58,29.58,2.15
Biak,ID,-0.9131,122.8766,1622657849,99,80,24.15,2.32
Yabassi,CM,4.457,9.9682,1622657849,100,98,24.16,0.74
Soyo,AO,-6.1349,12.3689,1622657840,4,84,25.09,3.52
Lusambo,CD,-4.9667,23.45,1622657850,88,47,26.15,0.27
Conceição das Alagoas,BR,-19.9147,-48.3883,1622657826,35,31,29.88,2.3
Sri Aman,MY,1.2376,111.4621,1622657851,99,94,25.03,0.0
Zheleznodorozhnyy,RU,55.7503,38.0042,1622657800,77,68,17.29,3.64
Broome,US,42.2506,-75.833,1622657851,90,82,19.75,0.89
Diffa,NE,13.3154,12.6113,1622657818,98,18,36.98,2.93
Talnakh,RU,69.4865,88.3972,1622657847,97,91,1.2,3.75
Omsukchan,RU,62.5333,155.8,1622657852,74,70,4.45,1.61
Soria,ES,41.6667,-2.6667,1622657853,97,46,21.03,3.9
Yelizovo,RU,53.1873,158.3805,1622657853,54,93,0.08,2.0
Mossamedes,AO,-15.1961,12.1522,1622657854,75,86,21.47,3.76
Polunochnoye,RU,60.8697,60.4153,1622657854,8,53,5.78,2.02
Illapel,CL,-31.6308,-71.1653,1622657842,16,29,26.07,1.87
Fortuna,US,40.5982,-124.1573,1622657855,90,94,27.46,4.63
Souillac,MU,-20.5167,57.5167,1622657855,40,69,24.64,7.77
Necochea,AR,-38.5473,-58.7368,1622657804,83,63,11.62,9.08
Antsohihy,MG,-14.8796,47.9875,1622657856,82,77,22.74,1.86
Sumenep,ID,-7.0167,113.8667,1622657804,91,82,26.34,3.71
Farah,AF,32.5,62.5,1622657857,2,9,32.88,2.69
Hinganghāt,IN,20.5667,78.8333,1622657838,99,35,30.67,3.45
Turukhansk,RU,65.8167,87.9833,1622657858,98,98,2.39,4.79
Glendive,US,47.1053,-104.7125,1622657858,1,32,28.16,3.6
Aksarka,RU,66.5606,67.7975,1622657858,99,63,3.57,6.97
Mońki,PL,53.405,22.7979,1622657858,43,67,14.56,1.32
Terra Santa,BR,-2.1042,-56.4869,1622657859,27,49,32.4,2.01
Sabang,ID,5.8933,95.3214,1622657859,78,77,28.09,4.01
Bengkulu,ID,-3.8004,102.2655,1622657749,33,86,25.13,1.72
Faanui,PF,-16.4833,-151.75,1622657860,50,71,26.91,6.47
Moranbah,AU,-22.0016,148.0466,1622657860,94,84,16.4,2.96
Ust'-Karsk,RU,52.7011,118.8077,1622657860,60,97,7.19,1.66
Keningau,MY,5.3378,116.1602,1622657856,100,99,25.25,0.57
Härnösand,SE,62.6323,17.9379,1622657812,10,67,19.01,3.45
Susuman,RU,62.7833,148.1667,1622657862,87,65,5.64,1.76
Zduńska Wola,PL,51.5992,18.9397,1622657848,66,71,17.99,4.2
Mangochi,MW,-14.4782,35.2645,1622657849,61,78,21.36,1.86
Amboise,FR,47.4125,0.9827,1622657873,75,68,22.3,3.11
Darnah,LY,32.767,22.6367,1622657873,13,61,20.46,3.16
Moose Factory,CA,51.2585,-80.6094,1622657873,1,49,22.0,3.6
Benghazi,LY,32.1167,20.0667,1622657801,33,49,24.02,8.24
Linkuva,LT,56.0856,23.9725,1622657874,55,76,18.37,3.72
Old Town,CZ,50.087,14.4202,1622657874,0,47,21.5,3.6
Vilyuysk,RU,63.7553,121.6247,1622657874,56,78,12.06,2.38
Solnechnyy,RU,50.7214,136.6319,1622657875,18,92,8.32,1.59
Morro Bay,US,35.3658,-120.8499,1622657876,78,62,31.88,3.58
Hof,DE,50.3167,11.9167,1622657801,0,42,22.51,3.6
Dipalpur,PK,30.6709,73.6529,1622657860,0,46,30.13,2.15
Izumo,JP,35.3667,132.7667,1622657877,66,84,18.97,2.59
Laufen,DE,47.95,12.9333,1622657877,20,33,23.99,1.41
Along,IN,28.1667,94.7667,1622657834,80,97,22.76,0.71
Mardin,TR,37.3131,40.7436,1622657850,0,27,20.59,3.74
Banda Aceh,ID,5.5577,95.3222,1622657728,79,83,26.76,2.8
Almaznyy,RU,48.0448,40.045,1622657879,100,95,16.08,4.52
Sakakah,SA,29.9697,40.2064,1622657880,0,13,33.76,5.99
Meulaboh,ID,4.1363,96.1285,1622657880,100,88,25.81,1.27
Newport,GB,51.5877,-2.9984,1622657852,98,81,21.97,3.68
Nizwá,OM,22.9333,57.5333,1622657798,0,11,36.34,2.18
Matagami,CA,49.7502,-77.6328,1622657881,75,43,22.06,4.8
Tiarei,PF,-17.5333,-149.3333,1622657882,57,67,27.01,5.2
Elizabeth City,US,36.2946,-76.2511,1622657882,90,75,27.78,0.45
Egersund,NO,58.4513,5.9997,1622657883,71,73,18.9,4.71
Klaksvík,FO,62.2266,-6.589,1622657883,99,95,10.51,4.3
Chiredzi,ZW,-21.05,31.6667,1622657819,0,78,16.95,3.11
Rūdbār,AF,30.15,62.6,1622657884,0,8,36.79,3.95
Villamontes,BO,-21.25,-63.5,1622657884,4,36,29.18,4.67
Lākheri,IN,25.6667,76.1667,1622657587,61,33,31.72,1.84
Manali,IN,13.1667,80.2667,1622657822,15,90,30.6,4.73
Praia,CV,14.9215,-23.5087,1622657885,20,65,26.3,7.72
Lavrentiya,RU,65.5833,-171.0,1622657885,31,70,-1.07,5.96
Chuguyevka,RU,44.1653,133.8633,1622657886,100,91,13.33,2.03
Kutum,SD,14.2,24.6667,1622657886,83,15,32.25,1.86
Severobaykal'sk,RU,55.65,109.3167,1622657819,72,82,5.59,0.64
Senaki,GE,42.2704,42.0675,1622657826,57,96,17.05,3.67
Ancud,CL,-41.8697,-73.8203,1622657887,100,90,10.13,4.76
Coahuayana Viejo,MX,18.7333,-103.6833,1622657887,94,45,34.71,3.77
Bairiki Village,KI,1.3292,172.9752,1622657888,75,89,26.0,7.46
Takoradze,GH,4.8845,-1.7554,1622657888,62,77,27.69,4.12
Chipinge,ZW,-20.1883,32.6236,1622657888,60,73,14.37,2.08
Red Bluff,US,40.1785,-122.2358,1622657704,1,29,34.76,2.06
At-Bashi,KG,41.1702,75.8106,1622657889,86,71,13.7,0.54
Lagoa,PT,39.05,-27.9833,1622657889,86,59,15.28,2.35
Hornepayne,CA,49.2138,-84.7705,1622657890,65,30,24.4,5.61
Ghanzi,BW,-21.5667,21.7833,1622657890,0,23,11.49,3.34
Xinqing,CN,48.2333,129.5,1622657890,100,61,11.11,1.85
Orangeburg,US,33.4918,-80.8557,1622657891,75,68,29.34,1.34
Dunedin,NZ,-45.8742,170.5036,1622657621,1,89,8.78,0.45
Flinders,AU,-34.5833,150.8552,1622657901,97,83,12.43,0.45
Ewo,CG,-0.8725,14.8206,1622657902,78,76,25.35,1.67
Imeni Poliny Osipenko,RU,52.4201,136.4853,1622657902,73,91,9.6,1.36
Esim,GH,4.8699,-2.2405,1622657902,89,78,27.71,3.19
Hofn,IS,64.2539,-15.2082,1622657903,90,93,8.01,8.23
Wanaka,NZ,-44.7,169.15,1622657681,6,98,2.28,2.24
Ulaangom,MN,49.9811,92.0667,1622657903,23,25,14.19,1.67
Portland,US,45.5234,-122.6762,1622657697,1,54,28.78,0.45
Ascension,US,30.2169,-90.9001,1622657904,1,66,31.14,5.14
Xichang,CN,27.8964,102.2634,1622657905,81,90,20.5,1.06
Phang Nga,TH,8.4509,98.5298,1622657906,82,93,31.01,0.94
Sirajganj,BD,24.45,89.7167,1622657793,99,73,28.79,4.02
Turaif,SA,31.6725,38.6637,1622657906,0,32,27.14,6.17
Imbituba,BR,-28.24,-48.6703,1622657906,36,56,24.94,2.02
Poronaysk,RU,49.2167,143.1167,1622657804,14,96,5.56,1.41
Darhan,MN,49.4867,105.9228,1622657907,33,91,8.15,2.74
Zyryanka,RU,65.75,150.85,1622657907,79,45,12.35,1.77
Barra de Tecoanapa,MX,16.5167,-98.75,1622657908,100,58,31.09,3.33
Seddon,AU,-37.8068,144.8916,1622657908,90,87,13.71,2.57
Shimoda,JP,34.6667,138.95,1622657908,90,87,19.03,2.41
Jaqué,PA,7.5175,-78.1703,1622657909,99,79,27.8,1.36
Dubovka,RU,49.0583,44.829,1622657855,100,93,17.15,2.61
Chitral,PK,35.8462,71.7858,1622657909,9,40,22.39,2.85
Dakar,SN,14.6937,-17.4441,1622657807,0,73,27.49,5.14
Miyang,CN,24.4042,103.4428,1622657826,79,88,20.05,2.05
Świdnik,PL,51.219,22.6962,1622657813,0,63,16.62,2.06
Shatrovo,RU,56.5167,64.6333,1622657911,100,59,13.52,2.94
Laas,IT,46.6166,10.7002,1622657911,72,90,18.95,0.96
Caravelas,BR,-17.7125,-39.2481,1622657911,48,67,26.06,3.34
Álamos,MX,27.0167,-108.9333,1622657912,84,22,32.62,2.64
Cockburn Town,TC,21.4612,-71.1419,1622657790,100,76,26.73,8.58
Plettenberg Bay,ZA,-34.0527,23.3716,1622657912,98,88,13.73,4.23
Westport,US,41.1415,-73.3579,1622657792,1,60,27.47,0.45
Contramaestre,CU,20.2978,-76.2414,1622657913,93,63,29.71,1.78
Avarua,CK,-21.2078,-159.775,1622657801,64,69,25.03,5.66
Danville,US,36.586,-79.395,1622657913,75,57,28.12,2.57
Frankfort,ZA,-27.2667,28.4833,1622657914,30,53,7.8,1.87
Kahului,US,20.8947,-156.47,1622657914,20,60,28.01,7.2
Namatanai,PG,-3.6667,152.4333,1622657914,63,84,25.57,1.81
Tessalit,ML,20.1986,1.0114,1622657915,2,5,41.15,3.2
Maningrida,AU,-12.0667,134.2667,1622657915,76,86,21.49,3.46
Krasnokamensk,RU,50.0979,118.0369,1622657915,100,81,10.65,2.24
Nemuro,JP,43.3236,145.575,1622657801,100,100,9.16,2.07
Richards Bay,ZA,-28.783,32.0377,1622657814,1,79,16.12,2.27
Dauphin,CA,51.1494,-100.0502,1622657916,40,24,29.08,6.17
Winsum,NL,53.33,6.5208,1622657917,83,60,24.56,4.44
Ikwiriri,TZ,-7.9562,38.9716,1622657917,67,93,21.78,1.78
Port Lincoln,AU,-34.7333,135.8667,1622657917,8,80,15.0,6.11
Manavgat,TR,36.7867,31.4431,1622657918,0,69,25.46,0.63
Dickinson,US,29.4608,-95.0513,1622657814,40,63,32.36,0.45
Ürümqi,CN,43.801,87.6005,1622657842,0,18,27.53,1.53
Sørland,NO,67.667,12.6934,1622657919,13,75,14.92,2.75
Mwinilunga,ZM,-11.7358,24.4293,1622657919,61,48,16.62,1.25
Fomboni,KM,-12.28,43.7425,1622657930,80,66,26.37,1.61
Jaciara,BR,-15.9653,-54.9683,1622657845,60,29,33.43,1.71
Pringsewu,ID,-5.3582,104.9744,1622657930,94,91,23.56,1.07
San Ignacio,BZ,17.1561,-89.0714,1622657931,75,46,34.08,2.38
Hayvoron,UA,48.3396,29.8679,1622657795,100,94,11.9,7.16
Pedernales,DO,18.0384,-71.744,1622657931,94,62,29.82,0.84
Auki,SB,-8.7676,160.7034,1622657932,54,88,25.57,1.64
Mapiripán,CO,2.8892,-72.1256,1622657932,71,77,27.87,2.12
San Jose,US,37.3394,-121.895,1622657828,20,69,24.69,1.54
Camopi,GF,3.1655,-52.3158,1622657933,43,89,27.5,1.5
Lysyye Gory,RU,51.5506,44.8414,1622657933,90,69,15.03,7.63
Talara,PE,-4.5772,-81.2719,1622657850,20,65,25.42,5.66
Cândido Mendes,BR,-1.4467,-45.7167,1622657935,40,74,28.94,2.98
Karangampel,ID,-6.4622,108.4519,1622657796,69,83,27.15,2.45
Riyadh,SA,24.6877,46.7219,1622657835,0,8,36.08,2.57
Dmitriyevka,RU,54.75,55.3333,1622657936,100,95,14.71,6.81
Hobyo,SO,5.3505,48.5268,1622657937,100,78,26.29,9.9
Charlestown,AU,-32.95,151.6667,1622657937,99,84,13.65,1.34
Irbeyskoye,RU,55.6428,95.4522,1622657937,2,63,13.57,1.12
Oranjestad,AW,12.524,-70.027,1622657791,20,66,29.97,11.83
Ostrovnoy,RU,68.0531,39.5131,1622657938,92,87,7.48,2.52
La Ronge,CA,55.1001,-105.2842,1622657939,75,30,28.14,3.09
Williston,US,48.147,-103.618,1622657939,85,30,29.21,1.34
Baghdad,IQ,33.3406,44.4009,1622657940,0,18,33.95,8.02
Makakilo City,US,21.3469,-158.0858,1622657940,1,63,26.18,2.57
Iberia,US,29.9502,-91.7507,1622657940,75,70,31.1,3.57
Carutapera,BR,-1.195,-46.02,1622657941,41,67,29.51,3.79
Labytnangi,RU,66.6572,66.4183,1622657941,98,74,2.81,5.05
Crotone,IT,39.0851,17.1178,1622657790,0,55,19.97,3.88
Vallenar,CL,-28.5708,-70.7581,1622657806,0,18,28.96,2.52
Sennar,SD,13.5691,33.5672,1622657942,99,28,36.11,6.12
Hualmay,PE,-11.0964,-77.6139,1622657943,99,70,20.85,3.64
Kendal,GB,54.3268,-2.7476,1622657822,85,77,22.73,6.13
Yulara,AU,-25.2406,130.9889,1622657943,82,76,9.91,3.09
Catalina,US,32.5056,-110.9211,1622657944,76,15,34.54,0.89
Ambilobe,MG,-13.2,49.05,1622657944,39,76,22.21,1.79
Nhulunbuy,AU,-12.2333,136.7667,1622657944,8,94,21.34,2.57
